stem,0,1,2,3,4,5,6,7,8,9
1098-1155-5503,610425,664996,617995,0,0,0,0,26584,0,0
1099-1156-5510,438951,795420,609462,0,0,0,0,76167,0,0
1099-1156-5511,611520,1019523,184511,0,0,0,0,104446,0,0
11-11-1415,372631,715953,552481,79611,0,0,181033,18291,0,0
11-11-1416,205659,780914,735331,39331,80558,0,0,78207,0,0
11-11-64,517675,596548,613032,0,130759,0,0,61986,0,0
11-11-65,495300,792633,505417,0,0,0,91000,35650,0,0
11-11-66,504104,632721,692848,0,0,0,66715,23612,0,0
110-110-494,188042,893519,748970,24797,40069,0,0,24603,0,0
1100-1157-5514,436653,746281,633709,0,0,0,0,62566,0,40791
1101-1158-55068,382231,1134391,336226,0,0,0,0,67152,0,0
1101-1158-55069,572998,867092,427494,0,0,0,0,52416,0,0
1101-1158-56974,184471,594584,947126,94032,0,0,74045,25742,0,0
1101-1158-81322,36372,609195,1074709,61794,0,0,132583,5347,0,0
1101-1158-81326,272493,1095493,422834,21357,0,0,93256,14567,0,0
1101-1158-9902,294739,956240,498668,69567,0,0,27290,59716,0,13780
1101-7797-38003,259472,1226687,369257,15157,0,0,21955,27472,0,0
1102-1159-5519,689429,908033,199000,40543,0,0,49793,33202,0,0
1103-1160-70555,131651,766400,987192,0,0,0,0,34757,0,0
1104-1161-5533,418851,1089391,192455,0,0,0,174089,45214,0,0
1104-1161-5534,601458,944064,164863,0,0,0,166406,43209,0,0
1104-1161-5535,544644,998540,225682,0,0,0,136098,15036,0,0
1104-1161-5536,549749,974440,216111,0,0,0,144627,35073,0,0
1104-1161-5537,300550,983574,483340,0,0,0,127821,24715,0,0
1104-1161-5538,299999,991852,482887,0,0,0,117260,28002,0,0
1105-1162-5542,472342,731496,517790,44370,0,0,109481,44521,0,0
1106-1163-5543,449172,821996,580219,0,0,0,0,68613,0,0
1106-1163-5545,332131,795715,722452,0,0,0,0,69702,0,0
1107-1164-5548,97327,808766,936945,0,0,0,0,65725,0,11237
1107-1164-5549,39140,684908,1137223,0,0,0,0,58729,0,0
1108-1165-5556,128603,927931,796210,0,0,0,0,53896,0,13360
1110-1167-5570,65936,576467,1224308,0,0,0,0,53289,0,0
1110-1167-5571,437627,913622,509674,0,0,0,35165,23912,0,0
1111-1168-5576,171868,1125129,555497,0,0,0,0,67506,0,0
1112-1169-5583,369814,847812,403390,53336,12,0,224809,20827,0,0
1112-1169-5585,842031,587172,300790,15468,11,0,143408,31120,0,0
1112-1169-5616,525288,754845,401544,49239,0,0,161007,28077,0,0
1114-1171-31266,160109,852426,726979,0,0,0,119596,60890,0,0
1114-1171-5598,205190,584231,940637,0,0,0,152633,37309,0,0
1114-1171-8578,404696,1035453,328783,0,0,0,0,151068,0,0
1114-1171-8579,76855,730205,967662,0,0,0,0,145278,0,0
1114-1171-8580,367085,1047130,345108,0,0,0,0,160677,0,0
1114-1171-8581,202291,587092,940840,0,0,0,151854,37923,0,0
1115-1172-5606,505007,1050392,320363,0,0,0,0,44238,0,0
1115-1172-5607,33915,711537,1114212,0,0,0,0,60336,0,0
1115-1172-5608,52394,1175557,608242,0,0,0,0,83807,0,0
1115-1172-5610,115096,1003871,739902,0,0,0,0,61131,0,0
1116-1173-5622,13652,265119,1527422,0,113807,0,0,0,0,0
1116-1173-5625,251238,597252,731987,0,304378,0,0,35145,0,0
1116-1173-5626,245394,613544,714633,0,310296,0,0,36133,0,0
1117-1174-5631,681284,931758,244996,0,0,0,0,61962,0,0
1117-1174-5632,361974,1053281,433649,0,0,0,0,71096,0,0
1117-1174-7374,25799,600503,1204127,89571,0,0,0,0,0,0
1117-1174-7375,17039,404277,1442046,56638,0,0,0,0,0,0
1117-1174-8151,317856,784373,645277,82387,0,0,67129,22978,0,0
1118-1175-5642,125725,907008,767571,0,0,0,81126,38570,0,0
1119-1176-5651,235080,985142,598821,0,0,0,33521,67436,0,0
112-113-500,491794,872282,503013,0,0,0,0,52911,0,0
1121-1178-5668,322935,558467,985632,0,0,0,0,52966,0,0
1121-1178-7987,629040,834605,393103,0,0,0,0,50746,0,12506
1121-1178-7988,95678,709384,1083829,0,0,0,0,31109,0,0
1122-1179-5674,133156,775551,953355,0,0,0,0,57938,0,0
1124-1181-5683,181759,873243,814713,0,0,0,12441,37844,0,0
1125-1182-5684,129751,972148,760923,0,0,0,13200,43978,0,0
1126-1183-5687,784392,912661,147869,0,0,0,56737,18341,0,0
1126-1183-5689,162508,942453,553055,0,0,0,220115,41869,0,0
1126-1183-5691,373672,692185,742667,0,0,0,63403,48073,0,0
1126-1183-5692,330239,587416,955184,0,0,0,31837,15324,0,0
1127-1184-5698,132370,967919,755950,0,0,0,0,63761,0,0
113-114-503,338758,536674,929140,44214,0,0,50012,21202,0,0
1130-1187-5707,200243,1015090,618023,0,0,0,0,86644,0,0
1131-1188-5717,509441,381659,1019832,0,0,0,0,9068,0,0
1131-1188-5718,748490,758888,357569,19407,0,0,14298,21348,0,0
1131-1188-5721,876780,385238,640214,0,0,0,0,17768,0,0
1131-1188-5723,407536,506801,938722,18548,0,0,27182,21211,0,0
1132-1189-5728,200801,991521,644540,0,0,0,0,48344,0,34794
1133-1190-5748,289295,991753,487618,65596,0,0,43852,41886,0,0
1134-1191-5733,367367,1128624,365976,0,0,0,0,58033,0,0
1135-1192-5739,275828,995545,557804,0,0,0,8392,82431,0,0
1135-1192-5740,77680,1083727,714102,0,0,0,0,44491,0,0
1135-1192-5741,396947,1007124,464946,0,0,0,0,50983,0,0
1136-1193-5746,441735,564145,792826,0,0,0,66946,54348,0,0
1138-1195-5756,107120,959007,786057,0,0,0,0,67816,0,0
1138-1195-6579,171697,1171239,429795,42844,0,0,74015,30410,0,0
1139-1196-5758,372103,632464,660929,0,0,0,0,40867,213637,0
114-116-509,179958,1032375,629698,0,0,0,0,77969,0,0
1140-1197-5767,168260,959792,647571,50401,0,0,0,27784,0,66192
1141-1198-5770,285597,744906,488794,0,203824,0,0,108707,0,88172
1142-1199-30487,571480,525266,433882,51668,264290,0,61244,12170,0,0
1142-1199-5774,340622,886580,375906,122776,0,0,194116,0,0,0
1143-1200-5778,460859,1140637,265006,0,0,0,0,53498,0,0
1144-1201-5779,115259,577018,596168,0,570287,0,0,61268,0,0
1144-1201-6252,739854,871103,271356,0,0,0,25462,12225,0,0
1144-1201-6253,113808,1156626,595466,0,0,0,11322,42778,0,0
1144-1201-8351,197792,719197,655061,48666,249851,0,0,49433,0,0
1145-1202-5781,83684,1155210,535448,0,0,0,0,145658,0,0
1146-1203-7649,537632,563126,463080,101720,0,0,79933,0,174509,0
1148-1205-5793,166663,837771,755040,0,0,0,84878,67711,0,7937
115-117-520,689857,817521,309951,53230,0,0,0,49441,0,0
1150-1207-5804,308910,645760,847549,0,0,0,72314,45467,0,0
1150-1207-5806,481006,572433,605920,0,205752,0,0,54889,0,0
1151-1208-5810,135331,794342,953598,0,0,0,4885,31844,0,0
1151-1208-5990,120887,659724,1054872,24485,0,0,0,60032,0,0
1152-1209-5813,487169,649170,744568,0,0,0,0,39093,0,0
1152-1209-5817,386119,1172258,300995,0,0,0,9594,51034,0,0
1152-1209-5818,368019,722622,758870,0,0,0,0,70489,0,0
1153-1210-5822,306363,888586,632930,0,0,0,32186,59935,0,0
1154-1211-5823,224586,920329,502642,0,0,0,100,147152,125191,0
1154-1211-5825,92703,926600,748225,0,0,0,0,120454,32018,0
1156-1213-5831,394977,770752,712252,0,0,0,16458,25561,0,0
1157-1214-7341,199878,912126,791729,6744,0,0,0,9523,0,0
1157-1214-7342,81115,818472,925795,24658,0,0,34801,35159,0,0
1158-1215-5836,238279,973764,566122,0,0,0,0,91656,0,50179
1159-1216-5839,633385,725910,455520,0,0,0,0,105185,0,0
116-118-514,178050,1115294,530024,0,0,0,0,96632,0,0
1161-1218-6737,495335,804763,516320,60290,0,0,0,43292,0,0
1162-1219-5847,327488,893886,679285,0,0,0,0,16798,0,2543
1163-1220-5849,234164,656639,876760,18268,0,0,48724,57383,0,28062
1163-1220-6593,820078,463679,488090,41473,0,0,43600,31638,0,31442
1164-1221-14139,504450,1058934,317215,0,0,0,0,39401,0,0
1164-1221-14141,212386,1229929,429175,0,0,0,0,48510,0,0
1164-1221-14143,226995,1228695,400740,0,0,0,0,63570,0,0
1164-1221-14144,83122,1011146,761751,0,0,0,0,63981,0,0
1165-1222-5859,320328,1031345,472524,0,0,0,20704,75099,0,0
1166-1223-5864,635360,704466,522259,0,0,0,0,57915,0,0
1166-1223-5865,355028,1073581,401363,0,0,0,0,90028,0,0
1166-1223-6294,738018,914067,183566,34493,0,0,0,49856,0,0
1166-1223-6332,394730,970961,495915,38989,0,0,0,19405,0,0
1167-1224-5870,315137,1120291,399771,30137,0,0,18858,35806,0,0
1167-1224-5871,482108,1174126,149198,71372,0,0,0,43196,0,0
1168-1225-5877,254567,895809,659762,14328,0,0,55183,40351,0,0
1169-1226-5879,908117,709053,232698,0,0,0,0,57405,0,12727
117-119-519,15706,470106,1340550,27896,0,0,41814,23928,0,0
1170-1227-5880,205368,951538,643910,77385,0,0,41799,0,0,0
1171-1228-6267,594347,1076339,95120,0,0,0,0,154194,0,0
1172-1229-5883,99444,961830,815142,0,0,0,0,43584,0,0
1172-1229-5884,222663,797486,831389,0,0,0,25843,42619,0,0
1172-1229-5885,152305,1005351,713880,0,0,0,0,48464,0,0
1172-1229-6976,213840,561212,1078536,36642,0,0,29770,0,0,0
1173-1231-5889,297770,548472,899840,33042,93657,0,32097,15122,0,0
1174-1233-5896,85117,582098,974740,67436,193109,0,0,17500,0,0
1175-1234-5897,278920,956728,532633,18427,0,0,68559,64733,0,0
1175-1234-5898,166624,1052750,565447,14042,0,0,76388,44749,0,0
1176-1235-5905,291864,1003236,588191,0,0,0,0,36709,0,0
1176-1235-6990,640324,512263,702603,61111,0,0,0,3699,0,0
1176-1235-6994,195518,716328,957505,0,0,0,0,50649,0,0
1178-1237-5914,553364,884582,393897,0,0,0,27552,60605,0,0
1178-1237-5915,119659,1053250,654660,0,0,0,27230,65201,0,0
1179-1238-5921,425759,301245,1136581,0,0,0,0,56415,0,0
118-120-1349,455153,761324,289242,86370,282699,0,0,20588,0,24624
118-120-523,240901,710501,592762,74674,247269,0,31350,0,0,22543
118-120-525,420980,858152,396859,68987,151414,0,0,0,0,23608
1181-1240-5932,94485,919745,704114,37670,0,0,92013,71973,0,0
1182-1241-5934,45214,840966,998683,0,0,0,0,35137,0,0
1184-1243-5944,393091,404591,1090451,7975,0,0,0,23892,0,0
1184-1243-5947,472186,398948,1033630,0,0,0,0,15236,0,0
1184-1243-5948,470943,669070,726110,21043,0,0,0,32834,0,0
1184-1243-5949,324562,444720,1137000,13718,0,0,0,0,0,0
1184-1243-5950,367215,456908,1073883,0,0,0,0,21994,0,0
1185-1244-5953,425258,1016289,324414,53599,0,0,64466,35974,0,0
1185-1244-5954,610790,805962,407092,47065,0,0,32254,16837,0,0
1186-1245-5964,78876,765179,714147,41245,250438,0,0,70115,0,0
1186-1245-7588,67655,847900,587082,95413,236093,0,0,43951,0,41906
1187-1246-5965,360609,958781,533201,0,0,0,0,67409,0,0
1188-1247-5966,225557,1039284,266183,46674,263832,0,27275,51195,0,0
1188-1247-5967,395872,912687,318517,40417,173022,0,20522,58963,0,0
1189-1248-8407,626564,591752,645241,32167,0,0,24276,0,0,0
119-122-526,305248,797638,749837,0,0,0,20804,46473,0,0
119-122-528,160296,582703,1107161,0,0,0,41683,28157,0,0
119-292-1670,37301,730776,1061566,67395,0,0,0,22962,0,0
119-292-1672,50837,719871,1033120,78009,0,0,0,38163,0,0
1190-1249-5970,334957,820220,419642,12639,267488,0,45346,19708,0,0
1190-1249-7461,247849,605051,616249,43948,398756,0,0,8147,0,0
1190-1249-7462,120917,820560,558426,72982,338957,0,0,8158,0,0
1191-1250-5971,439050,875515,491614,0,0,0,0,113821,0,0
1192-1251-5973,323687,932224,632785,0,0,0,0,31304,0,0
1193-1252-5975,37515,848261,953912,0,0,0,0,80312,0,0
1193-1252-5976,373796,1154973,316213,0,0,0,0,75018,0,0
1195-1254-5980,161198,785548,895759,0,0,0,0,77495,0,0
1195-1254-5981,462782,977616,436467,0,0,0,0,43135,0,0
1195-1254-7705,301718,713119,847726,32607,0,0,0,24830,0,0
1195-1254-7719,429309,704058,675974,24297,0,0,35729,50633,0,0
1196-1255-48694,225113,366122,1168898,61014,98853,0,0,0,0,0
1196-1255-48696,273498,471844,1099107,34100,0,0,0,41451,0,0
1196-1255-49236,300868,312803,1224839,75154,0,0,6336,0,0,0
1196-1255-5982,239511,722013,802736,18151,0,0,104906,32683,0,0
1198-1257-5985,400518,1164423,217214,0,0,0,66090,71755,0,0
12-156-803,133382,1157962,557575,51018,0,0,0,20063,0,0
120-123-544,455908,832724,399740,69037,0,0,158150,4441,0,0
1200-1259-5993,58329,692870,1099256,0,0,0,0,50011,0,19534
1201-1260-5994,282685,1280521,246652,0,0,0,0,110142,0,0
1201-1260-5995,321456,972570,465711,0,0,0,0,160263,0,0
1202-1261-5996,382910,698600,710066,0,0,0,66405,62019,0,0
1206-1265-6004,598559,1099745,173292,0,0,0,0,48404,0,0
1207-1266-6006,282085,1170244,280146,0,0,0,37112,114856,0,35557
1208-1267-6008,456362,826828,391752,0,191397,0,0,53661,0,0
121-124-2854,380020,1055832,288546,76980,0,0,83352,35270,0,0
121-124-5023,119519,755926,919572,98908,0,0,0,26075,0,0
121-124-5026,137025,828791,865142,71942,0,0,0,17100,0,0
121-124-5027,95359,800169,944532,54849,0,0,0,25091,0,0
121-124-531,236799,889085,714645,0,0,0,0,79471,0,0
121-124-533,460482,774864,530858,58131,0,0,81701,13964,0,0
121-124-536,499311,865820,514188,0,0,0,0,40681,0,0
1210-1269-6013,168561,842127,831052,0,0,0,26195,52065,0,0
1211-1270-6018,918776,357279,552125,1867,0,0,0,3402,0,86551
1212-1271-6024,267281,863631,743053,0,0,0,0,46035,0,0
1214-1273-6028,155387,977632,747471,0,0,0,0,39510,0,0
1215-1274-6043,60575,954921,750702,65230,0,0,39109,49463,0,0
1216-1275-6033,46110,1238990,500553,0,0,0,0,134347,0,0
1216-1275-6039,81075,1060224,726611,0,0,0,0,52090,0,0
1218-1277-38247,133353,849240,601623,122501,201034,0,12249,0,0,0
1218-1277-6054,266046,1153720,389238,0,0,0,0,110996,0,0
122-125-541,437419,1141217,314162,0,0,0,0,27202,0,0
122-125-542,459181,816391,609012,0,0,0,0,35416,0,0
122-421-2216,77095,798151,788785,0,0,0,226644,29325,0,0
1220-1279-6067,425318,984528,441782,0,0,0,0,68372,0,0
1221-1280-6072,379614,530746,923362,86278,0,0,0,0,0,0
1222-1281-6069,722641,686823,326222,22756,65072,0,0,75683,0,20803
1222-1281-6070,58081,1060456,465491,18604,215518,0,0,59581,0,42269
1223-1282-6082,192302,1044592,620611,0,0,0,0,62495,0,0
1224-1283-6091,520768,508535,756701,91123,42873,0,0,0,0,0
1224-1283-6092,117792,518369,1047394,87739,143385,0,0,470,0,4851
1224-1283-6093,110956,677942,1052305,78797,0,0,0,0,0,0
1225-1284-6097,168485,976386,709005,0,0,0,0,66124,0,0
1226-1285-6098,361945,908596,564603,0,0,0,15724,69132,0,0
1226-1285-6101,467319,959702,400326,0,0,0,18535,74118,0,0
1226-1285-7569,827982,411164,626045,29178,0,0,0,25631,0,0
1227-1286-6105,342482,536622,920658,40707,35323,0,0,33239,0,10969
1228-1287-6109,172472,863381,639886,0,168533,0,0,75728,0,0
1229-1288-6119,286139,649841,876098,0,0,0,0,107922,0,0
1229-1288-6120,360855,875456,629295,0,0,0,0,54394,0,0
1229-1288-6121,249591,938255,659713,0,0,0,0,72441,0,0
123-126-549,528876,584952,709890,74286,0,0,0,21996,0,0
1231-1290-11252,1163262,619835,112602,24301,0,0,0,0,0,0
1231-1290-6132,69716,893193,849524,64045,0,0,0,43522,0,0
1232-1291-6130,217343,858721,801269,3,0,0,20142,22522,0,0
1233-1292-6135,176651,1016982,620103,0,0,0,0,106264,0,0
1233-1292-6136,136210,888699,839173,0,0,0,0,55918,0,0
